User ID,Property ID,Text Score,Feature Score,Final Match Score
2,7,13.16,0.0,6.58
2,20,13.16,0.0,6.58
3,21,12.9,0.0,6.45
3,27,12.9,0.0,6.45
6,27,12.9,0.0,6.45
6,12,12.9,0.0,6.45
3,7,12.9,0.0,6.45
3,28,12.9,0.0,6.45
1,4,12.82,0.0,6.41
1,16,12.82,0.0,6.41
1,24,12.82,0.0,6.41
7,20,12.12,0.0,6.06
7,11,12.12,0.0,6.06
7,9,12.12,0.0,6.06
12,20,12.0,0.0,6.0
12,11,12.0,0.0,6.0
12,9,12.0,0.0,6.0
12,15,12.0,0.0,6.0
5,11,11.43,0.0,5.71
5,12,11.43,0.0,5.71
5,24,11.43,0.0,5.71
5,27,11.43,0.0,5.71
5,29,11.43,0.0,5.71
4,27,11.11,0.0,5.55
25,11,11.11,0.0,5.55
4,22,11.11,0.0,5.55
4,24,11.11,0.0,5.55
4,16,11.11,0.0,5.55
4,29,11.11,0.0,5.55
4,15,11.11,0.0,5.55
4,11,11.11,0.0,5.55
4,7,11.11,0.0,5.55
10,25,11.11,0.0,5.55
13,25,11.11,0.0,5.55
10,9,11.11,0.0,5.55
14,11,10.71,0.0,5.36
23,12,10.71,0.0,5.36
23,21,10.71,0.0,5.36
17,25,10.71,0.0,5.36
14,12,10.71,0.0,5.36
19,12,10.71,0.0,5.36
19,24,10.71,0.0,5.36
19,11,10.71,0.0,5.36
2,29,10.53,0.0,5.26
8,12,10.34,0.0,5.17
21,29,10.34,0.0,5.17
8,16,10.34,0.0,5.17
20,12,10.34,0.0,5.17
8,29,10.34,0.0,5.17
21,20,10.34,0.0,5.17
20,25,10.34,0.0,5.17
8,11,10.34,0.0,5.17
1,29,10.26,0.0,5.13
1,27,10.26,0.0,5.13
1,12,10.26,0.0,5.13
16,25,10.0,0.0,5.0
22,12,10.0,0.0,5.0
24,25,10.0,0.0,5.0
16,7,10.0,0.0,5.0
9,24,10.0,0.0,5.0
24,9,10.0,0.0,5.0
16,11,10.0,0.0,5.0
22,24,10.0,0.0,5.0
6,7,9.68,0.0,4.84
6,11,9.68,0.0,4.84
6,25,9.68,0.0,4.84
7,21,9.09,0.0,4.54
7,29,9.09,0.0,4.54
7,25,9.09,0.0,4.54
4,20,8.33,0.0,4.17
4,12,8.33,0.0,4.17
2,25,7.89,0.0,3.94
21,11,6.9,0.0,3.45
21,25,6.9,0.0,3.45
8,24,6.9,0.0,3.45
